Data Set,Avg Accuracy with BCS,Std. Dev,Avg Accuracy without BCS,Std. Dev,Original Component Size,Component size after BCS, AddedDiv
glass,0.980952,0.033296,0.976623,0.032664,165.6,16.2,0
ecoli,0.839305,0.042379,0.854367,0.042518,212.4,7.6,0
liver,0.666723,0.060286,0.698739,0.073182,212.4,4.2,0
iris,0.96,0.056218,0.953333,0.054885,176.4,20.6,0
sonar,0.76,0.091829,0.802619,0.121532,144,5.5,0
breast-cancer-wisconsin,0.957039,0.028688,0.965673,0.020414,316.8,28.8,0
haberman,0.711935,0.074076,0.748172,0.049804,216,5.8,0
diabetic_retinopathy,0.724588,0.0284,0.685495,0.047556,360,7.6,0
wine,0.971895,0.039553,0.966013,0.039282,194.4,44.8,0
ionosphere,0.891905,0.052934,0.908889,0.041984,205.2,5,0
vehicle,0.781345,0.042296,0.761204,0.026754,327.6,4.5,0
segment,0.965801,0.010495,0.816883,0.061155,478.8,6.2,0
thyroid,0.995278,0.002869,0.941806,0.003613,734.4,14.5,0
ecoli, 0.824510,0.067027,0.848217,0.032815,212.400000,8.800000, 0.000000
glass, 0.990693,0.019628,0.971861,0.032347,172.800000,19.200000, 0.000000
iris, 0.953333,0.063246,0.953333,0.083444,176.400000,15.600000, 0.000000
breast-cancer-wisconsin, 0.967081,0.016607,0.968509,0.022168,331.200000,15.600000, 0.000000
liver, 0.637983,0.102917,0.683529,0.083881,216.000000,8.000000, 0.000000
haberman, 0.745484,0.057191,0.751828,0.048194,216.000000,5.200000, 0.000000
sonar, 0.792381,0.090475,0.782857,0.060326,151.200000,6.700000, 0.000000
diabetic_retinopathy, 0.744558,0.039225,0.685495,0.030008,360.000000,7.300000, 0.000000
wine, 0.972222,0.039284,0.977778,0.038845,190.800000,37.100000, 0.000000
ionosphere, 0.885952,0.070097,0.894603,0.052203,201.600000,14.800000, 0.000000
vehicle, 0.793039,0.030460,0.764762,0.032719,342.000000,3.800000, 0.000000
segment, 0.964502,0.007010,0.862771,0.070043,460.800000,5.200000, 0.000000
thyroid, 0.994028,0.003707,0.942500,0.004353,745.200000,14.000000, 0.000000
glass, 0.990693,0.019628,0.938528,0.050589,176.400000,17.400000, 0.000000
ecoli, 0.848663,0.056956,0.842602,0.061307,212.400000,9.800000, 0.000000
liver, 0.640924,0.089536,0.678487,0.063444,216.000000,4.000000, 0.000000
breast-cancer-wisconsin, 0.961325,0.023540,0.964203,0.023655,345.600000,17.900000, 0.000000
iris, 0.960000,0.071665,0.966667,0.056656,180.000000,21.800000, 0.000000
